ID,File Name,카테고리_니트웨어,카테고리_블라우스,카테고리_티셔츠,소매기장_7부소매,소매기장_긴팔,소매기장_민소매,소매기장_반팔
703911,(116)IMG_1.jpg,0,1,0,0,1,0,0
703912,(117)IMG_1.jpg,0,1,0,0,1,0,0
703913,(118)IMG_1.jpg,0,1,0,0,1,0,0
703914,(119)IMG_1.jpg,0,1,0,0,1,0,0
703917,(122)IMG_1.jpg,0,1,0,0,1,0,0
703918,(123)IMG_1.jpg,0,1,0,0,1,0,0
703919,(124)IMG_1.jpg,0,1,0,0,1,0,0
703920,(125)IMG_1.jpg,0,1,0,0,1,0,0
704002,(207)IMG_1.jpg,0,1,0,0,1,0,0
704004,(209)IMG_1.jpg,0,1,0,0,1,0,0
704007,(212)IMG_1.jpg,0,1,0,0,1,0,0
704008,(213)IMG_1.jpg,0,1,0,0,1,0,0
704009,(214)IMG_1.jpg,0,1,0,0,1,0,0
704010,(215)IMG_1.jpg,0,1,0,0,1,0,0
704011,(216)IMG_1.jpg,0,1,0,0,1,0,0
704012,(217)IMG_1.jpg,0,1,0,0,1,0,0
704013,(218)IMG_1.jpg,0,1,0,0,1,0,0
704014,(219)IMG_1.jpg,0,1,0,0,1,0,0
1241458,"018-285-4,257-35,865-Hanna_409_02.jpg",0,0,0,0,0,0,0
1241459,"018-285-4,257-35,865-Hanna_409_03.jpg",0,0,0,0,0,0,0
1241460,"018-285-4,257-35,865-Hanna_409_05.jpg",0,0,0,0,0,0,0
1241463,"018-285-4,257-35,865-Hanna_409_08.jpg",0,0,0,0,0,0,0
1241464,"018-285-4,257-35,865-Hanna_409_09.jpg",0,0,0,0,0,0,0
1241465,"018-285-4,257-35,865-Hanna_409_11.jpg",0,0,0,0,0,0,0
1241982,"019-286-3,261-39,126-Haemil_194_03.jpg",1,0,0,0,1,0,0
1241985,"019-286-3,261-39,126-Haemil_194_07.jpg",1,0,0,0,1,0,0
1241986,"019-286-3,261-39,126-Haemil_194_08.jpg",1,0,0,1,0,0,0
1241987,"019-286-3,261-39,126-Haemil_194_10.jpg",1,0,0,1,0,0,0
1241988,"019-286-3,261-39,126-Haemil_194_11.jpg",1,0,0,1,0,0,0
1227417,1-(9)-004-271-3031-5163-TOP_179_02.jpg,0,1,0,1,0,0,0
1227418,1-(9)-004-271-3031-5163-TOP_179_03.jpg,0,1,0,1,0,0,0
1227419,1-(9)-004-271-3031-5163-TOP_179_04.jpg,0,1,0,1,0,0,0
1227420,1-(9)-004-271-3031-5163-TOP_179_05.jpg,0,1,0,1,0,0,0
1227421,1-(9)-004-271-3031-5163-TOP_179_06.jpg,0,1,0,1,0,0,0
1227422,1-(9)-004-271-3031-5163-TOP_179_07.jpg,0,1,0,1,0,0,0
1227423,1-(9)-004-271-3031-5163-TOP_179_08.jpg,0,1,0,1,0,0,0
1227424,1-(9)-004-271-3031-5163-TOP_179_09.jpg,0,1,0,1,0,0,0
1227427,1-(9)-004-271-3031-5163-TOP_179_img.jpg,0,1,0,1,0,0,0
1227428,1-(9)-004-271-3031-5163-TOP_179_imgs.jpg,0,1,0,1,0,0,0
1229112,"1-(9)-005-272-2,351-7,514-FisrtGI_355_03.jpg",0,1,0,0,0,0,1
