image_id,image_name,image_height,image_width,bottom_cate,bottom_len
1231679,"1-(9)-008-275-2,526-14,877-FLY_349_01.jpg",800,800,스커트,미디
1231680,"1-(9)-008-275-2,526-14,877-FLY_349_02.jpg",800,800,스커트,미디
1231682,"1-(9)-008-275-2,526-14,877-FLY_349_04.jpg",800,800,스커트,미디
1231688,"1-(9)-008-275-2,526-14,877-FLY_349_11_3.jpg",800,800,스커트,미디
1231690,"1-(9)-008-275-2,526-14,877-FLY_349_11_5.jpg",800,800,스커트,미디
1231691,"1-(9)-008-275-2,526-14,877-FLY_349_11_6.jpg",800,800,스커트,미디
1231692,"1-(9)-008-275-2,526-14,877-FLY_349_11_7.jpg",800,800,스커트,미디
1231693,"1-(9)-008-275-2,526-14,877-FLY_349_11_8.jpg",800,800,스커트,미디
1231848,"1-(9)-008-275-2,526-14,877-FLY_367_03.jpg",800,800,스커트,미디
1231849,"1-(9)-008-275-2,526-14,877-FLY_367_04.jpg",800,800,스커트,미디
1231850,"1-(9)-008-275-2,526-14,877-FLY_367_05.jpg",800,800,스커트,미디
1231851,"1-(9)-008-275-2,526-14,877-FLY_367_06.jpg",800,800,스커트,미디
1231852,"1-(9)-008-275-2,526-14,877-FLY_367_07.jpg",800,800,스커트,미디
1231853,"1-(9)-008-275-2,526-14,877-FLY_367_10.jpg",800,800,스커트,미디
1231856,"1-(9)-008-275-2,526-14,877-FLY_367_30.jpg",800,800,스커트,미디
788758,10.30-bl533(3)-블루샵 3.2_-6-IMG_6816.JPG,1200,800,청바지,발목
1016574,1107-14428-14428 (2-1)-20200129-1 (2058).JPG,533,800,청바지,발목
1140102,122-122-set1026k0a-set1026k0a-s_12.jpg,1049,800,스커트,미니
1138934,122-122-set856c06-set856c06-s_10.jpg,1049,800,스커트,미디
1138935,122-122-set856c06-set856c06-s_11.jpg,1049,800,스커트,미디
1138932,122-122-set856c06-set856c06-s_8.jpg,1049,800,스커트,미디
831226,"20180117(대행)26-lg014(2)-아론(대행,에이로즈SK)1.23-24-IMG_9471.jpg",533,800,스커트,미니
995334,20180305(샘플)-bl1-지끼(샘플IMG_0576 (1351).jpg,1200,800,팬츠,발목
995335,20180305(샘플)-bl1-지끼(샘플IMG_0576 (1352).jpg,1200,800,팬츠,발목
995337,20180305(샘플)-bl1-지끼(샘플IMG_0576 (1354).jpg,1200,800,팬츠,발목
918250,"20190625-pt3829k96(1)-세븐스타(대행,1053)6.27-밑단 접은거 안접은거 반반 작업해주세요-DHP03715.JPG",533,800,청바지,미니
918255,"20190625-pt3829k96(1)-세븐스타(대행,1053)6.27-밑단 접은거 안접은거 반반 작업해주세요-DHP03727.JPG",533,800,청바지,미니
961835,"20191209-pt4321k9c(3)-어그레잇(샘플,요크다잉팬츠)12.09-얼굴컷 사진 셀렉 신경써주시고 제품컷 색상 맞춰서 작업해주세여~-KakaoTalk_20191212_163124260_01.jpg",800,800,팬츠,발목
961837,"20191209-pt4321k9c(3)-어그레잇(샘플,요크다잉팬츠)12.09-얼굴컷 사진 셀렉 신경써주시고 제품컷 색상 맞춰서 작업해주세여~-KakaoTalk_20191212_163124260_05.jpg",800,800,팬츠,발목
961838,"20191209-pt4321k9c(3)-어그레잇(샘플,요크다잉팬츠)12.09-얼굴컷 사진 셀렉 신경써주시고 제품컷 색상 맞춰서 작업해주세여~-KakaoTalk_20191212_163124260_09.jpg",800,800,팬츠,발목
961849,"20191209-pt4321k9c(3)-어그레잇(샘플,요크다잉팬츠)12.09-얼굴컷 사진 셀렉 신경써주시고 제품컷 색상 맞춰서 작업해주세여~-KakaoTalk_20191212_163154956_05.jpg",800,800,팬츠,발목
1265125,20201116_235310_NEW 망고땡배기-158373296929860300_996507551.jpg,1066,800,팬츠,발목
1265126,20201116_235310_NEW 망고땡배기-158373296957847800_1557837993.jpg,1066,800,팬츠,발목
1265127,20201116_235310_NEW 망고땡배기-158373297068004000_624628859.jpg,1066,800,팬츠,발목
1265130,20201116_235310_NEW 망고땡배기-158373297352425500_674007958.jpg,1066,800,팬츠,발목
1265131,20201116_235310_NEW 망고땡배기-158373297376741800_510183131.jpg,1066,800,팬츠,발목
1265135,20201116_235310_NEW 망고땡배기-158373297422979100_4474034063.jpg,1066,800,팬츠,발목
